,course1,course2,corr,P-value,#students
93,BiologicalSciences1403,Psychology3330,0.367660127,0.032420892,34
100,BiologicalSciences1403,Psychology3600,0.277661876,0.000236146,171
101,BiologicalSciences1403,Psychology3610,0.330174582,0.056508887,34
103,BiologicalSciences1403,Psychology3700,0.333611332,0.010492061,58
106,BiologicalSciences1403,Psychology3730,0.426769367,0.001789971,51
108,BiologicalSciences1403,Psychology3820,0.403570673,0.010843943,39
111,BiologicalSciences1403,Psychology3930,0.441997399,0.001310801,50
112,BiologicalSciences1403,Psychology3950,0.439342688,0.052603496,20
114,BiologicalSciences1403,Psychology4245,0.207625308,0.279810147,29
116,BiologicalSciences1403,Psychology4310,0.279047459,0.011645146,81
119,BiologicalSciences1403,Psychology4340,0.406672431,0.000102131,86
125,BiologicalSciences1403,Psychology4900,0.205212938,0.015374834,139
131,BiologicalSciences1403,Theatre1100,0.269350538,1.76E-08,424
132,BiologicalSciences1403,Theology1000,0.458757304,4.20E-67,1270
133,BiologicalSciences1403,Theology3200,0.340442777,1.75E-06,188
134,BiologicalSciences1403,VisualArts1101,0.345331924,2.92E-09,280
135,BiologicalSciences1404,BiologicalSciences1403,0.675904884,1.64E-174,1302
136,BiologicalSciences1404,BiologicalSciences1404,1,0,1559
137,BiologicalSciences1404,BiologicalSciences1413,0.584844962,2.54E-120,1302
138,BiologicalSciences1404,Chemistry1321,0.528877258,1.18E-83,1147
139,BiologicalSciences1404,Chemistry1322,0.55372523,3.44E-90,1110
140,BiologicalSciences1404,Chemistry1331,0.550981109,8.90E-97,1207
141,BiologicalSciences1404,Chemistry1332,0.552235139,1.26E-92,1148
142,BiologicalSciences1404,ComputerandInfoScience1100,0.342713956,0.000771668,93
143,BiologicalSciences1404,ComputerandInfoScience1400,0.485846962,1.60E-06,88
145,BiologicalSciences1404,ComputerandInfoScience1600,0.302813642,8.98E-05,162
146,BiologicalSciences1404,ComputerandInfoScience1610,0.244866373,0.00420522,135
149,BiologicalSciences1404,ComputerandInfoScience2000,0.099064187,0.577249735,34
150,BiologicalSciences1404,ComputerandInfoScience2010,0.149993599,0.412567031,32
157,BiologicalSciences1404,ComputerandInfoScience2500,0.451315945,0.001134739,49
158,BiologicalSciences1404,ComputerandInfoScience2540,0.082907026,0.700132435,24
165,BiologicalSciences1404,ComputerandInfoScience3250,0.406361453,0.00229598,54
168,BiologicalSciences1404,ComputerandInfoScience3500,0.256847775,0.274320788,20
175,BiologicalSciences1404,ComputerandInfoScience4001,0.109417499,0.572064565,29
177,BiologicalSciences1404,ComputerandInfoScience4020,0.302772829,0.081765148,34
184,BiologicalSciences1404,ComputerandInfoScience4631,0.575565447,0.000297554,35
185,BiologicalSciences1404,ComputerandInfoScience4650,0.356800612,0.057434947,29
192,BiologicalSciences1404,Economics2140,0.213664891,0.000218147,295
193,BiologicalSciences1404,English1101,0.006181571,0.946123606,122
194,BiologicalSciences1404,English1102,0.358703587,1.93E-34,1090
195,BiologicalSciences1404,History1000,0.366187015,1.31E-12,352
196,BiologicalSciences1404,Mathematics1100,0.153446023,0.063516769,147
197,BiologicalSciences1404,Music1100,0.375316656,3.19E-10,263
198,BiologicalSciences1404,Philosophy1000,0.41449641,5.42E-47,1102
199,BiologicalSciences1404,Physics1201,0.136064323,0.186219558,96
200,BiologicalSciences1404,Physics1501,0.505517088,4.76E-30,442
201,BiologicalSciences1404,Physics1511,0.352376866,3.20E-14,437
206,BiologicalSciences1404,Psychology1100,0.257710071,0.003443393,127
207,BiologicalSciences1404,Psychology1200,0.369014358,2.06E-18,526
208,BiologicalSciences1404,Psychology2000,0.406913211,1.14E-12,282
209,BiologicalSciences1404,Psychology2010,0.384039742,1.43E-07,176
210,BiologicalSciences1404,Psychology2200,-0.029901091,0.843622561,46
211,BiologicalSciences1404,Psychology2201,0.425827026,0.003172692,46
215,BiologicalSciences1404,Psychology2501,0.286135601,0.009160096,82
216,BiologicalSciences1404,Psychology2600,0.223059394,0.108389283,53
218,BiologicalSciences1404,Psychology2700,0.371455518,1.16E-05,132
219,BiologicalSciences1404,Psychology2710,0.194195219,0.056651003,97
220,BiologicalSciences1404,Psychology2800,0.256256999,0.000926077,164
221,BiologicalSciences1404,Psychology2900,0.377038177,4.90E-10,255
222,BiologicalSciences1404,Psychology3100,0.231026639,0.068496317,63
223,BiologicalSciences1404,Psychology3110,0.607608378,3.92E-08,68
228,BiologicalSciences1404,Psychology3330,0.257435645,0.177592276,29
235,BiologicalSciences1404,Psychology3600,0.297149583,0.000329269,142
236,BiologicalSciences1404,Psychology3610,0.337100793,0.085526436,27
238,BiologicalSciences1404,Psychology3700,0.138019103,0.408604901,38
241,BiologicalSciences1404,Psychology3730,0.217503561,0.12918781,50
243,BiologicalSciences1404,Psychology3820,0.6140992,0.000111976,34
246,BiologicalSciences1404,Psychology3930,0.286900884,0.072665179,40
249,BiologicalSciences1404,Psychology4245,-0.016350827,0.936811623,26
251,BiologicalSciences1404,Psychology4310,0.385480988,0.000757508,73
254,BiologicalSciences1404,Psychology4340,0.158454223,0.180589223,73
260,BiologicalSciences1404,Psychology4900,0.331683323,0.000148232,126
266,BiologicalSciences1404,Theatre1100,0.181933861,0.000384556,377
267,BiologicalSciences1404,Theology1000,0.378724196,1.05E-38,1096
268,BiologicalSciences1404,Theology3200,0.332758338,1.18E-05,166
269,BiologicalSciences1404,VisualArts1101,0.286338701,4.01E-06,251
270,BiologicalSciences1413,BiologicalSciences1403,0.789904585,0,1785
271,BiologicalSciences1413,BiologicalSciences1404,0.584844962,2.54E-120,1302
272,BiologicalSciences1413,BiologicalSciences1413,1,0,1803
273,BiologicalSciences1413,Chemistry1321,0.617671645,1.33E-137,1300
274,BiologicalSciences1413,Chemistry1322,0.52348566,4.24E-74,1038
275,BiologicalSciences1413,Chemistry1331,0.660715925,1.31E-180,1434
276,BiologicalSciences1413,Chemistry1332,0.536633888,7.75E-81,1070
277,BiologicalSciences1413,ComputerandInfoScience1100,0.111985512,0.201107153,132
278,BiologicalSciences1413,ComputerandInfoScience1400,0.319917764,0.002113564,90
280,BiologicalSciences1413,ComputerandInfoScience1600,0.379797863,5.11E-08,193
281,BiologicalSciences1413,ComputerandInfoScience1610,0.368600161,1.29E-06,163
284,BiologicalSciences1413,ComputerandInfoScience2000,0.411172693,0.003336282,49
285,BiologicalSciences1413,ComputerandInfoScience2010,0.463619152,0.001174477,46
289,BiologicalSciences1413,ComputerandInfoScience2200,0.303211221,0.170150724,22
292,BiologicalSciences1413,ComputerandInfoScience2500,0.379679956,0.005046673,53
293,BiologicalSciences1413,ComputerandInfoScience2540,0.374336302,0.045435498,29
300,BiologicalSciences1413,ComputerandInfoScience3250,0.570221502,8.30E-06,53
303,BiologicalSciences1413,ComputerandInfoScience3500,0.207358859,0.271551914,30
306,BiologicalSciences1413,ComputerandInfoScience3595,0.199357506,0.399421978,20
310,BiologicalSciences1413,ComputerandInfoScience4001,0.22329159,0.197263574,35
312,BiologicalSciences1413,ComputerandInfoScience4020,0.512996606,0.001167546,37
319,BiologicalSciences1413,ComputerandInfoScience4631,0.431525189,0.004325862,42
320,BiologicalSciences1413,ComputerandInfoScience4650,0.530669126,0.002132138,31
327,BiologicalSciences1413,Economics2140,0.381549494,1.92E-14,375
328,BiologicalSciences1413,English1101,0.363186027,6.75E-07,177
329,BiologicalSciences1413,English1102,0.477532305,4.71E-74,1283
330,BiologicalSciences1413,History1000,0.470458644,1.14E-25,441
331,BiologicalSciences1413,Mathematics1100,0.180759257,0.003846704,254
332,BiologicalSciences1413,Music1100,0.482376437,5.26E-19,302
333,BiologicalSciences1413,Philosophy1000,0.523617892,6.92E-94,1321
334,BiologicalSciences1413,Physics1201,0.332058646,1.24E-05,166
335,BiologicalSciences1413,Physics1501,0.503701418,1.99E-29,436
336,BiologicalSciences1413,Physics1511,0.473566988,7.25E-26,438
341,BiologicalSciences1413,Psychology1100,0.418164657,3.02E-07,139
342,BiologicalSciences1413,Psychology1200,0.479027169,3.51E-33,555
343,BiologicalSciences1413,Psychology2000,0.422607799,2.99E-15,319
344,BiologicalSciences1413,Psychology2010,0.492669503,8.59E-15,219
345,BiologicalSciences1413,Psychology2200,0.354859627,0.005819508,59
346,BiologicalSciences1413,Psychology2201,0.643129828,4.74E-07,50
350,BiologicalSciences1413,Psychology2501,0.373527343,6.32E-05,109
351,BiologicalSciences1413,Psychology2600,0.476590457,8.99E-06,79
353,BiologicalSciences1413,Psychology2700,0.406689206,6.77E-07,139
354,BiologicalSciences1413,Psychology2710,0.532504436,5.42E-10,118
355,BiologicalSciences1413,Psychology2800,0.434253418,5.92E-10,186
356,BiologicalSciences1413,Psychology2900,0.474988525,1.91E-17,285
357,BiologicalSciences1413,Psychology3100,0.281246658,0.013219615,77
358,BiologicalSciences1413,Psychology3110,0.534911704,6.43E-07,76
363,BiologicalSciences1413,Psychology3330,0.438821624,0.009425612,34
370,BiologicalSciences1413,Psychology3600,0.345901261,3.59E-06,171
371,BiologicalSciences1413,Psychology3610,0.392822245,0.021555838,34
373,BiologicalSciences1413,Psychology3700,0.367925139,0.004866569,57
376,BiologicalSciences1413,Psychology3730,0.557717888,2.12E-05,51
378,BiologicalSciences1413,Psychology3820,0.370407097,0.020277287,39
381,BiologicalSciences1413,Psychology3930,0.569511526,1.59E-05,50
382,BiologicalSciences1413,Psychology3950,0.480425254,0.032027985,20
384,BiologicalSciences1413,Psychology4245,0.245867137,0.198569915,29
386,BiologicalSciences1413,Psychology4310,0.282131071,0.010229317,82
389,BiologicalSciences1413,Psychology4340,0.496037788,1.19E-06,86
395,BiologicalSciences1413,Psychology4900,0.292713009,0.000448835,140
401,BiologicalSciences1413,Theatre1100,0.329948158,2.82E-12,426
402,BiologicalSciences1413,Theology1000,0.496846837,3.92E-80,1270
403,BiologicalSciences1413,Theology3200,0.390370306,3.33E-08,187
404,BiologicalSciences1413,VisualArts1101,0.402416436,3.31E-12,277
405,Chemistry1321,BiologicalSciences1403,0.640340384,4.89E-151,1301
406,Chemistry1321,BiologicalSciences1404,0.528877258,1.18E-83,1147
407,Chemistry1321,BiologicalSciences1413,0.617671645,1.33E-137,1300
408,Chemistry1321,Chemistry1321,1,0,1946
409,Chemistry1321,Chemistry1322,0.729542148,5.10E-221,1328
410,Chemistry1321,Chemistry1331,0.728110134,2.63E-302,1831
411,Chemistry1321,Chemistry1332,0.634771773,6.00E-155,1366
412,Chemistry1321,ComputerandInfoScience1100,0.158098181,0.071304374,131
413,Chemistry1321,ComputerandInfoScience1400,0.363175184,0.000130092,106
415,Chemistry1321,ComputerandInfoScience1600,0.343803029,2.50E-09,285
416,Chemistry1321,ComputerandInfoScience1610,0.39339242,2.63E-10,240
419,Chemistry1321,ComputerandInfoScience2000,0.43327389,4.78E-05,82
420,Chemistry1321,ComputerandInfoScience2010,0.468322991,1.99E-05,76
424,Chemistry1321,ComputerandInfoScience2200,0.285723447,0.036226103,54
427,Chemistry1321,ComputerandInfoScience2500,0.243556017,0.09528568,48
428,Chemistry1321,ComputerandInfoScience2540,0.014438609,0.93143724,38
435,Chemistry1321,ComputerandInfoScience3250,0.088113073,0.526355149,54
438,Chemistry1321,ComputerandInfoScience3500,0.183787094,0.262722169,39
440,Chemistry1321,ComputerandInfoScience3593,0.217542947,0.202478619,36
441,Chemistry1321,ComputerandInfoScience3595,0.024906891,0.896056971,30
445,Chemistry1321,ComputerandInfoScience4001,0.209312635,0.148905505,49
447,Chemistry1321,ComputerandInfoScience4020,0.451955611,0.005654115,36
448,Chemistry1321,ComputerandInfoScience4080,0.26866125,0.098175465,39
449,Chemistry1321,ComputerandInfoScience4090,0.054208335,0.739725815,40
453,Chemistry1321,ComputerandInfoScience4615,0.000200503,0.999241062,25
454,Chemistry1321,ComputerandInfoScience4631,0.176163053,0.1940351,56
455,Chemistry1321,ComputerandInfoScience4650,0.406330552,0.017098783,34
462,Chemistry1321,Economics2140,0.278019543,6.94E-08,364
463,Chemistry1321,English1101,0.190031659,0.010837387,179
464,Chemistry1321,English1102,0.324508167,2.48E-33,1303
465,Chemistry1321,History1000,0.343311249,4.09E-14,458
466,Chemistry1321,Mathematics1100,0.230627125,0.00107988,198
467,Chemistry1321,Music1100,0.360276792,1.13E-11,334
468,Chemistry1321,Philosophy1000,0.372361263,2.85E-46,1369
469,Chemistry1321,Physics1201,0.423858473,2.72E-07,136
470,Chemistry1321,Physics1501,0.485607662,2.69E-27,438
471,Chemistry1321,Physics1511,0.38425103,7.90E-21,551
476,Chemistry1321,Psychology1100,0.265441775,0.002271556,130
477,Chemistry1321,Psychology1200,0.381391826,2.62E-18,487
478,Chemistry1321,Psychology2000,0.37316528,9.54E-11,282
479,Chemistry1321,Psychology2010,0.383757691,1.46E-07,176
480,Chemistry1321,Psychology2200,0.289994683,0.043256821,49
481,Chemistry1321,Psychology2201,0.389415206,0.009848659,43
485,Chemistry1321,Psychology2501,0.216625935,0.047790145,84
486,Chemistry1321,Psychology2600,0.489825949,4.61E-05,63
488,Chemistry1321,Psychology2700,0.42578854,3.23E-07,133
489,Chemistry1321,Psychology2710,0.385361617,8.91E-05,98
490,Chemistry1321,Psychology2800,0.36675905,8.06E-07,171
491,Chemistry1321,Psychology2900,0.321965058,2.06E-07,249
492,Chemistry1321,Psychology3100,0.363263089,0.003430751,63
493,Chemistry1321,Psychology3110,0.540779847,2.31E-06,67
498,Chemistry1321,Psychology3330,0.228583938,0.242010477,28
505,Chemistry1321,Psychology3600,0.399380993,2.41E-07,156
506,Chemistry1321,Psychology3610,0.055064342,0.780782204,28
508,Chemistry1321,Psychology3700,0.11124149,0.477596847,43
511,Chemistry1321,Psychology3730,0.114977429,0.436465788,48
513,Chemistry1321,Psychology3820,0.096375672,0.618956451,29
516,Chemistry1321,Psychology3930,0.109340169,0.525561546,36
519,Chemistry1321,Psychology4245,0.23802854,0.231858347,27
521,Chemistry1321,Psychology4310,0.370884612,0.001340367,72
524,Chemistry1321,Psychology4340,0.288705632,0.011429975,76
530,Chemistry1321,Psychology4900,0.212283782,0.014923763,131
536,Chemistry1321,Theatre1100,0.255467809,4.80E-08,444
537,Chemistry1321,Theology1000,0.341081501,5.10E-38,1346
538,Chemistry1321,Theology3200,0.296210413,2.38E-05,197
539,Chemistry1321,VisualArts1101,0.319948759,2.01E-08,294
540,Chemistry1322,BiologicalSciences1403,0.59934831,2.48E-102,1039
541,Chemistry1322,BiologicalSciences1404,0.55372523,3.44E-90,1110
542,Chemistry1322,BiologicalSciences1413,0.52348566,4.24E-74,1038
543,Chemistry1322,Chemistry1321,0.729542148,5.10E-221,1328
544,Chemistry1322,Chemistry1322,1,0,1613
545,Chemistry1322,Chemistry1331,0.61323419,1.66E-138,1333
546,Chemistry1322,Chemistry1332,0.698622575,4.79E-227,1548
547,Chemistry1322,ComputerandInfoScience1100,0.172132816,0.098967973,93
548,Chemistry1322,ComputerandInfoScience1400,0.386689424,0.00012881,93
550,Chemistry1322,ComputerandInfoScience1600,0.449047377,4.62E-13,235
551,Chemistry1322,ComputerandInfoScience1610,0.48019428,7.12E-13,199
554,Chemistry1322,ComputerandInfoScience2000,0.490174069,8.12E-05,59
555,Chemistry1322,ComputerandInfoScience2010,0.490469277,0.000124346,56
559,Chemistry1322,ComputerandInfoScience2200,0.399498052,0.031790016,29
562,Chemistry1322,ComputerandInfoScience2500,0.266514621,0.067090089,48
563,Chemistry1322,ComputerandInfoScience2540,0.325086584,0.085299817,29
570,Chemistry1322,ComputerandInfoScience3250,0.452614034,0.000589635,54
573,Chemistry1322,ComputerandInfoScience3500,0.371223567,0.056595837,27
575,Chemistry1322,ComputerandInfoScience3593,0.415622281,0.068378537,20
580,Chemistry1322,ComputerandInfoScience4001,0.027622644,0.863882519,41
582,Chemistry1322,ComputerandInfoScience4020,0.125145275,0.454081736,38
583,Chemistry1322,ComputerandInfoScience4080,0.669576811,0.000900045,21
584,Chemistry1322,ComputerandInfoScience4090,0.257100468,0.236299331,23
589,Chemistry1322,ComputerandInfoScience4631,0.280838416,0.058682622,46
590,Chemistry1322,ComputerandInfoScience4650,0.560799043,0.001265865,30
597,Chemistry1322,Economics2140,0.276307817,1.56E-06,293
598,Chemistry1322,English1101,0.119634022,0.193091642,120
599,Chemistry1322,English1102,0.314457896,3.08E-26,1081
600,Chemistry1322,History1000,0.369592884,1.13E-12,347
601,Chemistry1322,Mathematics1100,0.087751801,0.322723296,129
602,Chemistry1322,Music1100,0.342219699,1.08E-08,265
603,Chemistry1322,Philosophy1000,0.391509859,1.98E-41,1095
604,Chemistry1322,Physics1201,0.182869088,0.067189655,101
605,Chemistry1322,Physics1501,0.544475391,6.07E-34,422
606,Chemistry1322,Physics1511,0.414226183,1.35E-23,535
611,Chemistry1322,Psychology1100,0.217129127,0.019758935,115
612,Chemistry1322,Psychology1200,0.33528845,2.60E-13,451
613,Chemistry1322,Psychology2000,0.340990157,1.14E-07,230
614,Chemistry1322,Psychology2010,0.302908581,0.000414981,132
615,Chemistry1322,Psychology2200,0.200159948,0.264060848,33
616,Chemistry1322,Psychology2201,0.023614384,0.896216984,33
620,Chemistry1322,Psychology2501,0.250904107,0.072791889,52
621,Chemistry1322,Psychology2600,0.200642437,0.166866384,49
623,Chemistry1322,Psychology2700,0.247287678,0.010982925,105
624,Chemistry1322,Psychology2710,0.206907441,0.063834556,81
625,Chemistry1322,Psychology2800,0.311604702,0.000188465,139
626,Chemistry1322,Psychology2900,0.37868371,8.99E-09,216
627,Chemistry1322,Psychology3100,0.232118655,0.101205864,51
628,Chemistry1322,Psychology3110,0.640588216,6.93E-09,66
633,Chemistry1322,Psychology3330,0.092758377,0.697307271,20
640,Chemistry1322,Psychology3600,0.394946995,2.78E-06,132
641,Chemistry1322,Psychology3610,0.083372864,0.712224573,22
643,Chemistry1322,Psychology3700,-0.219944409,0.260752456,28
646,Chemistry1322,Psychology3730,0.049488681,0.758637249,41
651,Chemistry1322,Psychology3930,0.124129829,0.513412996,30
656,Chemistry1322,Psychology4310,0.019268055,0.881835357,62
659,Chemistry1322,Psychology4340,0.096407538,0.463698751,60
665,Chemistry1322,Psychology4900,0.139906641,0.156627338,104
671,Chemistry1322,Theatre1100,0.297730907,2.80E-09,383
672,Chemistry1322,Theology1000,0.331654592,3.89E-30,1119
673,Chemistry1322,Theology3200,0.382065373,3.22E-07,168
674,Chemistry1322,VisualArts1101,0.231067031,0.000256905,246
675,Chemistry1331,BiologicalSciences1403,0.657954001,5.67E-179,1437
676,Chemistry1331,BiologicalSciences1404,0.550981109,8.90E-97,1207
677,Chemistry1331,BiologicalSciences1413,0.660715925,1.31E-180,1434
678,Chemistry1331,Chemistry1321,0.728110134,2.63E-302,1831
679,Chemistry1331,Chemistry1322,0.61323419,1.66E-138,1333
680,Chemistry1331,Chemistry1331,1,0,2054
681,Chemistry1331,Chemistry1332,0.616607334,9.65E-146,1384
682,Chemistry1331,ComputerandInfoScience1100,0.147884761,0.079029554,142
683,Chemistry1331,ComputerandInfoScience1400,0.343192512,0.000258856,109
685,Chemistry1331,ComputerandInfoScience1600,0.425715985,4.16E-14,288
686,Chemistry1331,ComputerandInfoScience1610,0.440074029,6.24E-13,243
689,Chemistry1331,ComputerandInfoScience2000,0.454475602,2.92E-05,78
690,Chemistry1331,ComputerandInfoScience2010,0.478749741,2.10E-05,72
694,Chemistry1331,ComputerandInfoScience2200,0.33487795,0.022913747,46
697,Chemistry1331,ComputerandInfoScience2500,0.335819816,0.014936856,52
698,Chemistry1331,ComputerandInfoScience2540,-0.023240857,0.886806561,40
705,Chemistry1331,ComputerandInfoScience3250,0.398508188,0.00235015,56
708,Chemistry1331,ComputerandInfoScience3500,0.250878633,0.139979143,36
710,Chemistry1331,ComputerandInfoScience3593,-0.125244281,0.509609011,30
711,Chemistry1331,ComputerandInfoScience3595,0.106897668,0.573953296,30
715,Chemistry1331,ComputerandInfoScience4001,0.162893464,0.279413885,46
717,Chemistry1331,ComputerandInfoScience4020,0.519948826,0.000972509,37
718,Chemistry1331,ComputerandInfoScience4080,0.240672829,0.19216146,31
719,Chemistry1331,ComputerandInfoScience4090,0.296376086,0.083847057,35
723,Chemistry1331,ComputerandInfoScience4615,0.018523156,0.929970904,25
724,Chemistry1331,ComputerandInfoScience4631,0.281366033,0.029420184,60
725,Chemistry1331,ComputerandInfoScience4650,0.298599691,0.086276152,34
732,Chemistry1331,Economics2140,0.287642263,8.29E-09,387
733,Chemistry1331,English1101,0.116226168,0.108404451,192
734,Chemistry1331,English1102,0.340824833,5.17E-39,1385
735,Chemistry1331,History1000,0.363931937,2.54E-16,475
736,Chemistry1331,Mathematics1100,0.184403511,0.004654277,234
737,Chemistry1331,Music1100,0.353776301,1.61E-11,342
738,Chemistry1331,Philosophy1000,0.421919134,5.18E-64,1458
739,Chemistry1331,Physics1201,0.312433281,5.46E-05,161
740,Chemistry1331,Physics1501,0.428969367,9.50E-22,454
741,Chemistry1331,Physics1511,0.389947464,8.15E-22,561
746,Chemistry1331,Psychology1100,0.353550837,1.04E-05,148
747,Chemistry1331,Psychology1200,0.37248956,1.01E-18,525
748,Chemistry1331,Psychology2000,0.436472354,7.52E-16,310
749,Chemistry1331,Psychology2010,0.465500035,6.21E-12,196
750,Chemistry1331,Psychology2200,0.429188606,0.001202121,54
751,Chemistry1331,Psychology2201,0.563742602,4.51E-05,46
755,Chemistry1331,Psychology2501,0.387117256,8.22E-05,98
756,Chemistry1331,Psychology2600,0.503127646,1.05E-05,69
758,Chemistry1331,Psychology2700,0.392364629,9.68E-07,146
759,Chemistry1331,Psychology2710,0.403308789,1.25E-05,110
760,Chemistry1331,Psychology2800,0.316341249,1.03E-05,187
761,Chemistry1331,Psychology2900,0.390400847,1.61E-11,277
762,Chemistry1331,Psychology3100,0.509132515,7.92E-06,69
763,Chemistry1331,Psychology3110,0.462047976,3.41E-05,74
768,Chemistry1331,Psychology3330,0.521099504,0.003150126,30
775,Chemistry1331,Psychology3600,0.328339544,8.63E-06,176
776,Chemistry1331,Psychology3610,0.250347214,0.166985253,32
778,Chemistry1331,Psychology3700,0.276358867,0.054581604,49
781,Chemistry1331,Psychology3730,0.258123506,0.057078628,55
783,Chemistry1331,Psychology3820,0.460039082,0.006191011,34
786,Chemistry1331,Psychology3930,0.288596496,0.067261028,41
787,Chemistry1331,Psychology3950,0.484653909,0.025972025,21
789,Chemistry1331,Psychology4245,0.443161345,0.018182569,28
791,Chemistry1331,Psychology4310,0.462258494,1.80E-05,79
794,Chemistry1331,Psychology4340,0.290133217,0.006733131,86
800,Chemistry1331,Psychology4900,0.291889673,0.000538453,137
806,Chemistry1331,Theatre1100,0.30419883,1.46E-11,472
807,Chemistry1331,Theology1000,0.367786941,7.60E-47,1424
808,Chemistry1331,Theology3200,0.288286489,2.01E-05,212
809,Chemistry1331,VisualArts1101,0.343207078,5.37E-10,310
810,Chemistry1332,BiologicalSciences1403,0.542462442,7.99E-83,1069
811,Chemistry1332,BiologicalSciences1404,0.552235139,1.26E-92,1148
812,Chemistry1332,BiologicalSciences1413,0.536633888,7.75E-81,1070
813,Chemistry1332,Chemistry1321,0.634771773,6.00E-155,1366
814,Chemistry1332,Chemistry1322,0.698622575,4.79E-227,1548
815,Chemistry1332,Chemistry1331,0.616607334,9.65E-146,1384
816,Chemistry1332,Chemistry1332,1,0,1659
817,Chemistry1332,ComputerandInfoScience1100,0.142952174,0.158081672,99
818,Chemistry1332,ComputerandInfoScience1400,0.236271724,0.020472615,96
820,Chemistry1332,ComputerandInfoScience1600,0.429991515,1.91E-12,245
821,Chemistry1332,ComputerandInfoScience1610,0.379567612,1.84E-08,206
824,Chemistry1332,ComputerandInfoScience2000,0.520190924,2.41E-05,59
825,Chemistry1332,ComputerandInfoScience2010,0.511364692,5.63E-05,56
829,Chemistry1332,ComputerandInfoScience2200,0.515271303,0.004229511,29
832,Chemistry1332,ComputerandInfoScience2500,0.269789826,0.058125373,50
833,Chemistry1332,ComputerandInfoScience2540,0.240735846,0.208400414,29
840,Chemistry1332,ComputerandInfoScience3250,0.377301277,0.003813172,57
843,Chemistry1332,ComputerandInfoScience3500,0.201560841,0.313369018,27
845,Chemistry1332,ComputerandInfoScience3593,0.495882639,0.022245715,21
850,Chemistry1332,ComputerandInfoScience4001,0.370176079,0.015820533,42
852,Chemistry1332,ComputerandInfoScience4020,0.311315486,0.064573445,36
